"Algorithm","Stat","mean","ci.95.lo","ci.95.up"
"SVM","Accuracy",0.614606227106227,0.481257456322652,0.747954997889802
"SVM","AccuracyLower",0.339054000534169,0.217409484839322,0.460698516229016
"SVM","AccuracyUpper",0.841053577245552,0.752932354113756,0.929174800377349
"SVM","Sensitivity",0.73968253968254,0.467092825094281,1.0122722542708
"SVM","Specificity",0.514770723104056,0.349084420372897,0.680457025835216
"RF","Accuracy",0.813568376068376,0.724002247122554,0.903134505014198
"RF","AccuracyLower",0.532299571447252,0.423496408258373,0.641102734636132
"RF","AccuracyUpper",0.954802622022304,0.919971445383767,0.989633798660841
"RF","Sensitivity",0.724867724867725,0.575132085335765,0.874603364399684
"RF","Specificity",0.875,0.767575374943497,0.982424625056503
"GBM","Accuracy",0.578657916157916,0.510436691363669,0.646879140952163
"GBM","AccuracyLower",0.29762691677035,0.23694929291755,0.35830454062315
"GBM","AccuracyUpper",0.825640707224106,0.778166348829716,0.873115065618496
"GBM","Sensitivity",0.468783068783069,0.28370028465976,0.653865852906378
"GBM","Specificity",0.651014109347443,0.491434319515325,0.810593899179561
"XGBL","Accuracy",0.765491452991453,0.641457043650444,0.889525862332462
"XGBL","AccuracyLower",0.488691784455456,0.344892879104775,0.632490689806137
"XGBL","AccuracyUpper",0.924231175523633,0.873273388048146,0.975188962999119
"XGBL","Sensitivity",0.693121693121693,0.544133565361959,0.842109820881427
"XGBL","Specificity",0.811507936507937,0.647063653193549,0.975952219822324
"XGBT","Accuracy",0.75295584045584,0.63098896230826,0.874922718603421
"XGBT","AccuracyLower",0.474740066405417,0.336064231722823,0.613415901088011
"XGBT","AccuracyUpper",0.91771285615602,0.869416961596698,0.966008750715342
"XGBT","Sensitivity",0.737566137566138,0.572643817228046,0.902488457904229
"XGBT","Specificity",0.762125220458554,0.595886476036459,0.928363964880649
"Stack","Accuracy",0.756181318681319,0.576913835148637,0.935448802214001
"Stack","AccuracyLower",0.493046829807229,0.307179887207774,0.678913772406684
"Stack","AccuracyUpper",0.90390972039394,0.807484926927734,1.00033451386015
"Stack","Sensitivity",0.732275132275132,0.537607673870421,0.926942590679844
"Stack","Specificity",0.767857142857143,0.562307358317305,0.973406927396981
